"Date","Price","Open","High","Low","Vol.","Change %"
"09/26/2023","1,989.83","2,000.23","2,007.91","1,989.69","11.06K","-0.77%"
"09/25/2023","2,005.26","2,015.32","2,015.32","2,001.37","13.51K","-0.40%"
"09/22/2023","2,013.34","1,965.69","2,013.93","1,963.25","15.24K","2.32%"
"09/21/2023","1,967.61","1,983.02","1,990.33","1,967.61","960.02M","-0.99%"
"09/20/2023","1,987.30","2,000.72","2,001.50","1,987.30","8.81K","-0.77%"
"09/19/2023","2,002.66","2,017.89","2,017.89","1,995.36","9.96K","-0.88%"
"09/18/2023","2,020.47","1,994.87","2,032.65","1,993.68","11.49K","0.89%"
"09/15/2023","2,002.73","2,009.33","2,022.88","1,996.12","11.14K","-0.46%"
"09/14/2023","2,011.88","2,021.60","2,024.86","2,002.43","945.87M","-0.78%"
"09/13/2023","2,027.73","2,045.31","2,053.45","2,015.39","10.21K","-1.14%"
"09/12/2023","2,051.04","2,060.62","2,063.92","2,050.60","10.05K","-0.59%"
"09/11/2023","2,063.19","2,048.95","2,076.90","2,041.77","14.09K","0.65%"
"09/08/2023","2,049.76","2,047.60","2,057.12","2,038.57","10.74K","-0.35%"
"09/07/2023","2,056.98","2,096.61","2,096.64","2,056.98","12.58K","-2.11%"
"09/06/2023","2,101.40","2,103.30","2,105.10","2,089.50","12.64K","-0.47%"
"09/05/2023","2,111.33","2,113.60","2,122.53","2,107.93","12.14K","-0.32%"
"09/04/2023","2,118.03","2,110.17","2,120.98","2,088.99","12.22K","0.85%"
"09/01/2023","2,100.26","2,108.08","2,118.48","2,093.18","10.21K","-0.11%"
"08/31/2023","2,102.57","2,111.02","2,116.39","2,100.73","12.47K","-0.69%"
"08/30/2023","2,117.13","2,122.65","2,141.46","2,112.57","16.52K","-0.05%"
"08/29/2023","2,118.19","2,054.98","2,133.44","2,054.98","22.32K","2.82%"
"08/28/2023","2,060.04","2,182.39","2,182.39","2,055.61","29.02K","0.96%"
"08/25/2023","2,040.40","2,053.65","2,059.15","2,032.58","14.66K","-1.17%"
"08/24/2023","2,064.57","2,053.48","2,083.64","2,042.58","14.13K","1.26%"
"08/23/2023","2,038.98","2,081.21","2,081.21","2,038.98","10.78K","-2.30%"
