"Date","Price","Open","High","Low","Vol.","Change %"
"09/06/2023","3,158.08","3,147.14","3,162.15","3,136.90","26.70B","0.12%"
"09/05/2023","3,154.37","3,169.74","3,169.74","3,150.08","29.41B","-0.71%"
"09/04/2023","3,177.06","3,145.94","3,177.06","3,143.38","36.64B","1.40%"
"09/01/2023","3,133.25","3,126.02","3,143.85","3,123.19","29.23B","0.43%"
"08/31/2023","3,119.88","3,134.55","3,139.98","3,113.95","31.34B","-0.55%"
"08/30/2023","3,137.14","3,144.41","3,153.69","3,126.90","34.75B","0.04%"
"08/29/2023","3,135.89","3,091.94","3,145.76","3,090.44","39.89B","1.20%"
"08/28/2023","3,098.64","3,219.04","3,219.04","3,089.12","48.56B","1.13%"
"08/25/2023","3,064.07","3,068.61","3,085.05","3,053.04","29.33B","-0.59%"
"08/24/2023","3,082.24","3,085.91","3,106.18","3,072.95","30.00B","0.12%"
"08/23/2023","3,078.40","3,116.27","3,116.38","3,077.61","27.22B","-1.34%"
"08/22/2023","3,120.33","3,103.78","3,126.78","3,074.53","30.93B","0.88%"
"08/21/2023","3,092.98","3,125.99","3,134.96","3,092.98","26.58B","-1.24%"
"08/18/2023","3,131.95","3,165.10","3,179.12","3,131.95","29.44B","-1.00%"
"08/17/2023","3,163.74","3,137.35","3,167.45","3,123.25","29.47B","0.43%"
"08/16/2023","3,150.13","3,164.70","3,176.63","3,149.72","28.17B","-0.82%"
"08/15/2023","3,176.18","3,180.56","3,186.23","3,147.35","27.33B","-0.07%"
"08/14/2023","3,178.43","3,159.71","3,180.51","3,141.66","29.98B","-0.34%"
"08/11/2023","3,189.25","3,254.48","3,254.48","3,189.25","33.01B","-2.01%"
"08/10/2023","3,254.56","3,242.21","3,257.03","3,234.12","28.74B","0.31%"
"08/09/2023","3,244.49","3,251.15","3,257.08","3,240.29","27.12B","-0.49%"
"08/08/2023","3,260.62","3,260.72","3,274.52","3,246.67","31.65B","-0.25%"
"08/07/2023","3,268.83","3,276.78","3,276.78","3,258.54","36.03B","-0.59%"
"08/04/2023","3,288.08","3,296.09","3,315.05","3,281.73","47.09B","0.23%"
"08/03/2023","3,280.46","3,254.57","3,280.86","3,247.27","38.47B","0.58%"
"08/02/2023","3,261.69","3,281.86","3,290.82","3,252.30","40.53B","-0.89%"
"08/01/2023","3,290.95","3,288.76","3,305.34","3,279.57","45.99B","0.00%"
"07/31/2023","3,291.04","3,287.21","3,322.13","3,281.01","45.90B","0.46%"
"07/28/2023","3,275.93","3,206.74","3,280.28","3,200.99","41.11B","1.84%"
"07/27/2023","3,216.67","3,225.48","3,245.60","3,210.47","32.71B","-0.20%"
"07/26/2023","3,223.03","3,228.09","3,229.89","3,212.88","31.72B","-0.26%"
"07/25/2023","3,231.52","3,201.46","3,231.75","3,201.46","34.86B","2.13%"
"07/24/2023","3,164.16","3,157.47","3,178.73","3,151.13","21.66B","-0.11%"
"07/21/2023","3,167.75","3,163.42","3,185.64","3,157.33","22.53B","-0.06%"
"07/20/2023","3,169.52","3,201.91","3,209.06","3,165.67","23.89B","-0.92%"
"07/19/2023","3,198.84","3,195.01","3,204.36","3,181.56","21.74B","0.03%"
"07/18/2023","3,197.82","3,206.79","3,210.25","3,190.00","23.50B","-0.37%"
"07/17/2023","3,209.63","3,219.02","3,219.02","3,195.89","25.02B","-0.87%"
"07/14/2023","3,237.70","3,240.97","3,248.39","3,234.00","27.33B","0.04%"
"07/13/2023","3,236.48","3,202.70","3,238.47","3,202.70","27.66B","1.26%"
