"Date","Price","Open","High","Low","Vol.","Change %"
"09/07/2023","10,321.44","10,493.37","10,493.37","10,321.44","91.07K","-1.84%"
"09/06/2023","10,515.21","10,503.15","10,531.29","10,449.79","87.56K","-0.24%"
"09/05/2023","10,540.71","10,593.68","10,611.36","10,523.17","98.95K","-0.67%"
"09/04/2023","10,611.74","10,520.46","10,611.74","10,473.19","122.55K","1.41%"
"09/01/2023","10,463.74","10,449.60","10,512.95","10,429.62","95.20K","0.44%"
"08/31/2023","10,418.21","10,471.99","10,478.91","10,405.96","112.43K","-0.61%"
"08/30/2023","10,482.50","10,477.64","10,569.50","10,456.17","134.28K","0.26%"
"08/29/2023","10,454.98","10,204.25","10,495.95","10,200.85","153.42K","2.17%"
"08/28/2023","10,233.15","10,714.69","10,714.69","10,205.62","172.01K","1.01%"
"08/25/2023","10,130.47","10,197.96","10,212.65","10,092.21","104.28K","-1.23%"
"08/24/2023","10,256.19","10,213.75","10,341.48","10,153.44","104.11K","1.02%"
"08/23/2023","10,152.60","10,351.70","10,351.70","10,151.82","88.52K","-2.14%"
"08/22/2023","10,374.73","10,376.86","10,407.85","10,198.01","103.55K","0.53%"
"08/21/2023","10,320.39","10,432.95","10,481.92","10,320.39","84.93K","-1.32%"
"08/18/2023","10,458.51","10,637.68","10,655.61","10,458.51","88.78K","-1.75%"
"08/17/2023","10,644.52","10,540.44","10,656.83","10,469.79","90.88K","0.61%"
"08/16/2023","10,579.56","10,640.13","10,686.63","10,579.47","87.06K","-0.94%"
"08/15/2023","10,679.73","10,764.80","10,780.52","10,589.86","88.12K","-0.70%"
"08/14/2023","10,755.14","10,697.81","10,763.30","10,607.73","98.00K","-0.50%"
"08/11/2023","10,808.87","11,060.85","11,060.85","10,808.87","103.63K","-2.18%"
"08/10/2023","11,050.22","11,023.24","11,060.47","10,974.66","84.78K","0.10%"
"08/09/2023","11,039.45","11,068.53","11,096.58","11,023.37","93.60K","-0.53%"
"08/08/2023","11,098.45","11,126.69","11,156.02","11,076.49","105.71K","-0.42%"
"08/07/2023","11,145.03","11,207.58","11,207.58","11,113.14","127.22K","-0.83%"
"08/04/2023","11,238.06","11,229.46","11,305.50","11,185.90","15.67B","0.67%"
"08/03/2023","11,163.42","11,067.75","11,164.76","11,067.29","11.40B","0.53%"
"08/02/2023","11,104.16","11,120.86","11,176.94","11,073.23","11.17B","-0.35%"
"08/01/2023","11,143.23","11,168.50","11,211.68","11,102.84","13.30B","-0.36%"
"07/31/2023","11,183.91","11,158.72","11,289.16","11,153.72","17.34B","0.75%"
"07/28/2023","11,100.40","10,895.48","11,120.59","10,877.41","14.70B","1.62%"
"07/27/2023","10,923.77","10,985.58","11,024.01","10,904.74","10.50B","-0.41%"
"07/26/2023","10,968.98","11,001.86","11,001.86","10,942.41","10.83B","-0.47%"
"07/25/2023","11,021.29","10,909.19","11,021.93","10,909.19","13.92B","2.54%"
"07/24/2023","10,747.79","10,771.64","10,837.98","10,730.94","7.67B","-0.58%"
"07/21/2023","10,810.18","10,801.33","10,886.73","10,775.35","8.34B","-0.06%"
"07/20/2023","10,816.27","10,947.63","10,998.07","10,804.35","9.81B","-1.06%"
"07/19/2023","10,932.65","10,959.04","10,992.69","10,876.96","7.91B","-0.37%"
"07/18/2023","10,972.96","11,030.98","11,032.12","10,947.51","92.32K","-0.34%"
"07/17/2023","11,010.36","11,039.13","11,039.13","10,963.47","9.49B","-0.63%"
"07/14/2023","11,080.32","11,108.92","11,120.19","11,069.32","11.84B","-0.14%"
"07/13/2023","11,095.44","10,963.23","11,103.08","10,963.23","11.68B","1.61%"
"07/12/2023","10,919.26","11,020.36","11,029.29","10,905.85","11.47B","-0.99%"
"07/11/2023","11,028.68","10,953.88","11,030.19","10,933.23","9.10B","0.78%"
"07/10/2023","10,942.83","10,926.36","10,995.80","10,901.84","9.58B","0.50%"
"07/07/2023","10,888.55","10,939.29","10,949.98","10,852.96","10.32B","-0.73%"
"07/06/2023","10,968.37","11,001.87","11,072.07","10,954.15","10.67B","-0.55%"
"07/05/2023","11,029.30","11,129.12","11,129.12","11,014.39","10.55B","-0.91%"
"07/04/2023","11,130.30","11,080.64","11,133.45","11,055.26","11.27B","0.35%"
